OTU,NM-L+P+1,NM-L+P+2,NM-L+P+3,NM-L+P+4,NM-L+P+5,AM-L-P+1,AM-L-P+2,AM-L-P+3,AM-L-P+4,AM-L-P+5,NM-L+P-1,NM-L+P-2,NM-L+P-3,NM-L+P-4,NM-L+P-5,AM-L-P-1,AM-L-P-2,AM-L-P-3,AM-L-P-4,AM-L-P-5
OTU63,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
OTU64,0,3,0,0,5,104,347,0,0,0,0,0,413,1332,0,465,0,0,0,0
OTU65,0,0,0,0,0,0,219,0,0,0,0,0,363,491,0,502,0,0,0,796
OTU66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU67,0,0,45,186,0,270,364,0,0,0,0,0,0,1616,0,172,0,0,0,0
OTU68,0,0,0,3,0,0,39,0,0,0,0,0,0,0,1,71,0,0,0,0
OTU69,0,24,68,439,73,97,112,0,0,0,0,445,168,41,0,43,85,0,5,1
OTU70,0,0,39,532,1062,0,166,0,0,0,0,0,0,0,0,199,0,0,0,791
OTU71,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,304,0,0,0,0
OTU72,11236,8468,2297,389,567,3884,2785,1852,796,1280,1506,414,102,246,0,433,1514,0,108,0
OTU73,0,3,0,856,597,272,342,6,825,0,1,183,507,215,511,615,0,0,2,0
OTU74,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,159,0,0,0
OTU75,671,1316,0,514,854,467,360,0,85,45,2003,0,625,0,1075,0,244,0,68,0
OTU76,1498,0,1064,0,1388,0,175,0,2628,0,1160,0,0,0,0,0,1621,1390,1087,24
OTU77,0,0,32,0,0,216,166,0,0,0,0,0,267,0,547,0,0,0,0,0
OTU78,0,0,0,305,0,1,108,0,0,0,0,0,116,1065,0,317,0,2,0,0
OTU79,0,0,0,15,13,0,278,0,0,0,0,0,556,0,0,520,0,0,0,0
OTU80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU81,0,0,0,0,0,259,281,0,0,0,0,0,0,843,698,197,0,0,0,0
OTU82,7,0,0,198,417,144,173,0,0,2,0,0,227,49,0,142,0,826,0,0
OTU83,8,1,0,2,0,0,27,1,0,0,0,0,111,78,1,97,0,0,0,0
OTU84,0,0,0,2,0,0,34,0,0,0,0,0,0,0,0,116,0,0,0,0
OTU85,2,1,53,0,0,266,207,593,1907,0,0,3,145,369,3,63,0,0,0,0
OTU86,0,5,0,5,0,0,79,0,0,0,0,0,151,58,1,111,0,2,0,0
OTU87,0,0,0,0,408,278,270,8,0,0,0,0,0,244,0,143,0,0,0,0
