OTU,NM-L+P+1,NM-L+P+2,NM-L+P+3,NM-L+P+4,NM-L+P+5,AM-L-P+1,AM-L-P+2,AM-L-P+3,AM-L-P+4,AM-L-P+5,NM-L+P-1,NM-L+P-2,NM-L+P-3,NM-L+P-4,NM-L+P-5,AM-L-P-1,AM-L-P-2,AM-L-P-3,AM-L-P-4,AM-L-P-5
OTU3624,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3625,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3626,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3627,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3628,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3629,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3630,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3631,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3632,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3633,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3634,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3635,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3636,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3637,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3638,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3639,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3640,0,3,0,0,1,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0
OTU3641,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3642,0,4,0,0,1,0,0,0,0,0,0,77,0,0,0,64,0,0,0,0
OTU3643,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3644,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3645,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3646,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3647,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3648,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3649,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0
OTU3650,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3651,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3652,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3653,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3654,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3655,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3656,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3657,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3658,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3659,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3660,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3661,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3662,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3663,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3664,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3665,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3666,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3667,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3668,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3669,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3670,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3671,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3672,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3673,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3674,0,2,0,0,0,206,129,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3675,0,3,0,172,0,0,0,0,0,0,0,0,112,0,0,0,17,0,0,0
OTU3676,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3677,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3678,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3679,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3680,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3681,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3682,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3683,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3684,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3685,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3686,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3687,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3688,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3689,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3690,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3691,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3692,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3694,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3695,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3696,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3697,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3698,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3699,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3701,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3702,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3703,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3704,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3705,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3706,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3707,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3708,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3709,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3710,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3711,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3712,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3713,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3714,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3715,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3716,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3717,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0
OTU3718,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3719,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3720,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3721,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3722,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3723,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3724,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3725,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3726,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3727,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3728,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3729,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3730,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3731,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3732,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3733,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3734,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3735,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3736,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3737,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3738,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3739,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3740,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3741,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3742,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3743,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3744,0,2,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3745,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3746,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3747,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3748,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3750,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3751,0,3,12,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3752,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3753,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3754,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3755,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3756,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3757,0,6,0,0,0,0,0,0,0,1,0,0,112,0,0,0,0,0,0,0
OTU3758,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3759,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3760,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3761,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3762,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3763,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3764,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3765,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3766,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3767,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3768,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3769,0,3,0,1,0,108,69,0,0,0,0,0,70,0,0,137,0,0,0,0
OTU3770,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3771,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3772,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3773,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3774,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3775,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3776,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3777,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3778,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3779,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3780,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3781,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3782,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3783,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3784,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3785,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3786,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3787,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3788,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3789,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3790,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3791,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3792,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3793,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3794,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3795,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3796,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3797,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3798,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3799,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3800,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3801,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3802,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3803,0,4,0,0,0,134,94,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3804,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3805,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3806,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3807,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3809,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3810,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3811,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3812,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3813,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3815,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3816,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3817,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3818,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3819,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3820,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3821,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3822,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3823,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3824,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3826,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3827,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3828,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3829,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3830,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3831,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3832,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3833,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3834,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3835,0,2,0,52,0,0,0,0,0,0,0,0,0,0,1,0,11,31,0,0
OTU3836,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3837,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3838,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3839,0,3,0,0,333,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0
OTU3840,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3841,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3842,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3843,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3844,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3845,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3846,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
OTU3847,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3848,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3849,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3850,0,3,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3851,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3852,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3853,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3854,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3855,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3856,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3857,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3858,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3859,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3860,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3861,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3862,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3863,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3864,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3865,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3866,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3867,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3868,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3869,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
OTU3870,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3872,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3873,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3876,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3877,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3878,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3879,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3880,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3881,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3882,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3883,0,1,0,0,3,0,0,2,0,2,0,0,0,0,0,0,176,0,0,0
OTU3884,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3885,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3886,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3887,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3889,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3890,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3891,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3892,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3893,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3894,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3895,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3896,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3897,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3898,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3899,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3900,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3901,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3902,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3905,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3906,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3907,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3908,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3910,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3911,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3912,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3913,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3914,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3915,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3918,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3919,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3920,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3921,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3922,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
