,OTUs,a,b,c,size,Class
112,ASV140,0,0,0.000391185,0.01303951,c
113,ASV14079,0,0.000573738,0,0.019124614,b
114,ASV14297,5.87E-05,0,0.000306428,0.012170209,c
115,ASV1448,0.000286869,0,0,0.009562307,a
116,ASV14531,0.000319468,0.00106924,0,0.046290259,b
117,ASV14534,0.002008084,0.002210197,0,0.14060938,b
118,ASV14536,0,0,0.000280349,0.009344982,c
119,ASV14612,0,0,0.000645456,0.021515191,c
120,ASV14620,0,0.000247751,0,0.008258356,b
121,ASV14761,0,6.52E-06,0.00026731,0.009127657,c
122,ASV149,0.000215152,0.001408267,0.000919285,0.084756813,b
123,ASV14994,0,0.000208632,5.87E-05,0.008910332,b
124,ASV150,0.000430304,0.000612857,0,0.034772026,b
125,ASV15008,0.000286869,0,0,0.009562307,a
126,ASV1509,0,0.000293389,0,0.009779632,b
127,ASV1511,0.001290911,0.000241231,0,0.051071413,a
128,ASV1512,0.001955926,0,0.000436824,0.079758334,a
129,ASV1514,0.010881471,5.22E-05,0.000378146,0.377059156,a
130,ASV1515,0,0,0.000215152,0.00717173,c
131,ASV1516,0.008716912,0.000749772,0.00344895,0.430521146,a
132,ASV1521,0.000325988,0,0,0.010866258,a
133,ASV1523,0,7.17E-05,0.000854088,0.030860173,c
134,ASV15288,6.52E-06,0.000769331,0,0.025861694,b
135,ASV1538,0.000573738,0,0,0.019124614,a
136,ASV154,0,0,0.000599817,0.019993915,c
137,ASV1556,0.001127918,0,0,0.037597253,a
138,ASV1557,0.000189073,0.00025427,0,0.014778111,b
139,ASV156,0.000991003,0,0,0.033033425,a
140,ASV15647,0.000893206,0,0.000358587,0.041726431,a
141,ASV1565,0,0,0.000860608,0.028686921,c
142,ASV15653,0,0,0.000384666,0.012822185,c
143,ASV15663,0,0.000339027,0,0.011300908,b
144,ASV15682,0.000117356,0,0.000332507,0.014995436,c
145,ASV15693,0,0.000775851,0,0.025861694,b
146,ASV15698,0.00078889,0,0,0.026296345,a
147,ASV157,0,0.000371626,0,0.012387534,b
148,ASV15702,0.000834529,0,0,0.027817621,a
149,ASV15743,0,0.000319468,0.000189073,0.016951363,b
150,ASV15759,0.000991003,1.30E-05,0.000475942,0.049332812,a
151,ASV15766,0,0.000221672,0,0.007389056,b
152,ASV15778,0.000247751,0,0,0.008258356,a
153,ASV15782,0.000873647,0.000599817,0.000697614,0.072369279,none
154,ASV15795,0.001825531,0.000951884,0,0.092580519,a
155,ASV158,0.000736732,0.001193115,0,0.064328248,b
156,ASV1581,0,0.000449863,0.001356109,0.06019907,c
157,ASV1582,0,0.000945364,0,0.031512148,b
158,ASV15854,0,0.00131699,0,0.043899683,b
159,ASV159,0.00025427,0,0,0.008475681,a
160,ASV1591,0.000391185,0,0,0.01303951,a
161,ASV15924,0.000234711,0,0,0.007823706,a
162,ASV15938,0,0.000247751,0,0.008258356,b
163,ASV1594,0.008456122,0.002744817,5.87E-05,0.375320555,a
164,ASV15955,0.001968966,0,0,0.065632199,a
165,ASV15988,0,0.000312948,0.000143435,0.015212761,b
166,ASV16009,0,0.000215152,0,0.00717173,b
