,OTUs,a,b,c,size,Class
108,ASV1192,0,0.000446178,0.000347526,0.026456806,b
109,ASV1198,0,1.12E-06,0.000315015,0.01053788,c
110,ASV12,0.021164324,0.019062353,0.029954485,2.339372062,none
111,ASV12014,0,0.000441694,0,0.014723138,b
112,ASV1202,6.73E-06,3.36E-06,0.000280263,0.009678408,c
113,ASV12047,0,0.000107621,0.000291473,0.01330314,c
114,ASV12051,0.000211879,0,0,0.007062622,a
115,ASV1207,0,0,0.000260084,0.008669462,c
116,ASV1208,0.000335194,0,0,0.011173143,a
117,ASV121,0.000303805,0.001775745,0.000358736,0.081276205,b
118,ASV1211,2.24E-06,0,0.000337436,0.011322616,c
119,ASV1212,0,1.12E-06,0.000317257,0.010612617,c
120,ASV1216,0,0,0.000230937,0.007697884,c
121,ASV12192,0,0.0003195,0,0.010649985,b
122,ASV122,0,0.000834062,0.000171521,0.033519428,b
123,ASV1227,0,0,0.000220847,0.007361569,c
124,ASV1228,0.001846371,0.000862088,0.000178247,0.096223553,a
125,ASV1231,2.24E-06,0,0.000326226,0.010948932,c
126,ASV1233,2.24E-06,0,0.001071725,0.035798898,c
127,ASV12333,0,0,0.000294836,0.009827881,c
128,ASV1235,0.000540347,0.000599762,0.000102016,0.041404154,none
129,ASV12355,2.24E-06,0,0.002264523,0.075558844,c
130,ASV12368,0,0.00049102,0,0.016367346,b
131,ASV1247,0.000257842,5.16E-05,0.000784736,0.036471529,c
132,ASV125,0.000270173,0.00020291,0,0.015769452,a
133,ASV12554,0,0,0.00052241,0.01741366,c
134,ASV1258,0.000103137,0.000993251,0,0.036546266,b
135,ASV126,0.000877783,0,0,0.029259434,a
136,ASV1266,0.000504473,0,0.000118831,0.020776814,a
137,ASV1267,1.12E-06,0.00016031,0.000353131,0.017152082,c
138,ASV12671,0.000215242,0,0.000209637,0.014162612,a
139,ASV12678,0,0.000323984,0,0.010799459,b
140,ASV12680,0,0,0.000207394,0.006913148,c
141,ASV1274,0.000360978,3.36E-06,0,0.01214472,a
142,ASV128,0.00062891,0.001646824,0.000615457,0.096373026,b
143,ASV1282,0.000414789,0,2.47E-05,0.014648401,a
144,ASV1283,2.24E-06,0,0.000217484,0.007324201,c
145,ASV1284,0,1.12E-06,0.000226452,0.007585779,c
146,ASV1286,1.12E-06,9.75E-05,0.000242147,0.011359984,c
147,ASV12899,0.0002556,0,0,0.008519988,a
148,ASV129,0.000297079,0.001644582,0.00056501,0.083555675,b
149,ASV1291,0,0.000242147,0.000188337,0.014349454,b
150,ASV12944,0.000323984,0,0,0.010799459,a
151,ASV1296,0.000189458,0.000375552,0,0.018833658,b
