,OTUs,A,B,C,size,Class
115,ASV11167,0,0.000436824,0,0.014560786,B
116,ASV11168,0,0.000449863,0,0.014995436,B
117,ASV11169,0,0.000365106,0,0.012170209,B
118,ASV1117,1.30E-05,0,0.00027383,0.009562307,C
119,ASV11170,0,0.000443343,0,0.014778111,B
120,ASV11171,0,0.000404225,0,0.01347416,B
121,ASV11172,0,0.000332507,0,0.011083583,B
122,ASV11173,0,0.000319468,0,0.010648933,B
123,ASV11174,0,0.000345547,0,0.011518234,B
124,ASV11175,0,0.000378146,0,0.012604859,B
125,ASV11176,0,0.000404225,0,0.01347416,B
126,ASV11177,0,0.000371626,0,0.012387534,B
127,ASV11178,0,0.000325988,3.91E-05,0.012170209,B
128,ASV11179,0,0.000325988,6.52E-06,0.011083583,B
129,ASV11180,0,0.000306428,0,0.010214283,B
130,ASV11181,0,0.000280349,0,0.009344982,B
131,ASV11182,0,0.000280349,0,0.009344982,B
132,ASV11183,0,0.000299909,0,0.009996957,B
133,ASV11184,0,0.000358587,0,0.011952884,B
134,ASV11185,0,0.000325988,0,0.010866258,B
135,ASV11186,0,0.000299909,0,0.009996957,B
136,ASV11187,0,0.00027383,0,0.009127657,B
137,ASV11188,0,0.00025427,0,0.008475681,B
138,ASV11189,0,0.000299909,0.000110836,0.013691485,B
139,ASV11190,0,0.00026731,0,0.008910332,B
140,ASV11191,0,0.000221672,0,0.007389056,B
141,ASV11192,0,0.00025427,0,0.008475681,B
142,ASV11193,0,0.000228191,2.61E-05,0.008475681,B
143,ASV11194,0,0.000202112,0,0.00673708,B
144,ASV11196,0,0.000286869,0,0.009562307,B
145,ASV11198,0,0.000241231,0.000828009,0.035641327,C
146,ASV11200,0,0.000228191,1.30E-05,0.008041031,B
147,ASV11201,0,0.000221672,0,0.007389056,B
148,ASV11203,0,0.000234711,0,0.007823706,B
149,ASV11204,0,0.00026731,0,0.008910332,B
150,ASV11205,0,0.000208632,0,0.006954405,B
151,ASV11206,0,0.000234711,0,0.007823706,B
152,ASV11211,0,0.000215152,1.30E-05,0.007606381,B
153,ASV11212,0,0.000221672,0,0.007389056,B
154,ASV11243,0,0.000130395,0.000867127,0.03325075,C
155,ASV11251,0,0.000156474,0.000208632,0.012170209,C
156,ASV1126,1.96E-05,0.000228191,0,0.008258356,B
157,ASV1129,0.000352067,0.001688617,0.001375668,0.113878385,none
158,ASV113,0.000319468,0.000286869,0.002001565,0.086930065,C
159,ASV1134,8.48E-05,0.000436824,0.000404225,0.030860173,none
160,ASV1148,9.13E-05,0.000977963,0,0.035641327,B
161,ASV116,0.000502021,0.003325075,0.000860608,0.156256791,B
162,ASV1164,2.61E-05,0.000945364,0,0.032381449,B
163,ASV1186,6.52E-05,0.000456383,9.78E-05,0.02064589,B
164,ASV11949,0,6.52E-06,0.001897249,0.063458947,C
165,ASV1195,1.96E-05,2.61E-05,0.010718477,0.358803842,C
