,OTUs,A,B,C,size,Class
114,ASV11391,0,0,0.00183404,0.061134653,C
115,ASV11392,0,0,0.001532477,0.051082562,C
116,ASV11393,0,0,0.001515661,0.050522036,C
117,ASV11394,0,0,0.001404677,0.046822568,C
118,ASV11395,0,0,0.001338535,0.044617834,C
119,ASV11396,0,0,0.001207372,0.040245734,C
120,ASV11397,0,0,0.001177104,0.039236788,C
121,ASV11398,0,0,0.000956257,0.03187522,C
122,ASV11399,0,0,0.000912536,0.030417853,C
123,ASV114,0.000464115,1.12E-06,0,0.015507874,A
124,ASV11400,0,0,0.000867694,0.028923118,C
125,ASV11401,0,0,0.000845273,0.028175751,C
126,ASV11402,0,0,0.000835183,0.027839436,C
127,ASV11403,0,0,0.000808278,0.026942595,C
128,ASV11404,0,0,0.000802673,0.026755753,C
129,ASV11405,0,0,0.000801552,0.026718384,C
130,ASV11406,0,0,0.000795946,0.026531543,C
131,ASV11407,0,0,0.00078922,0.026307332,C
132,ASV11408,0,0,0.000758952,0.025298386,C
133,ASV11409,0,0,0.000742136,0.024737861,C
134,ASV11410,0,0,0.000709625,0.023654178,C
135,ASV11411,0,0,0.000700657,0.023355231,C
136,ASV11412,0,0,0.000675994,0.022533127,C
137,ASV11413,0,0,0.000649089,0.021636286,C
138,ASV11414,0,0,0.000645725,0.021524181,C
139,ASV11415,0,0,0.000647968,0.021598918,C
140,ASV11416,0,0,0.000624425,0.020814182,C
141,ASV11417,0,0,0.000621062,0.020702077,C
142,ASV11418,0,0,0.000617699,0.020589972,C
143,ASV11419,0,0,0.00057622,0.019207342,C
144,ASV1142,0.00030941,0.002808233,0.001159167,0.142560331,B
145,ASV11420,0,0,0.001479787,0.049326248,C
146,ASV11421,0,0,0.000441694,0.014723138,C
147,ASV11422,0,0,0.000402457,0.013415245,C
148,ASV11423,0,0,0.000403578,0.013452613,C
149,ASV11424,0,0,0.000393489,0.013116298,C
150,ASV11425,0,0,0.000387884,0.012929456,C
151,ASV11426,0,0,0.000380036,0.012667877,C
152,ASV11427,0,0,0.000372189,0.012406299,C
153,ASV11428,0,0,0.000359857,0.011995247,C
154,ASV11429,0,0,0.000307168,0.010238933,C
155,ASV11430,0,0,0.000300442,0.010014723,C
156,ASV11431,0,0,0.000279142,0.009304724,C
157,ASV11432,0,0,0.000270173,0.009005777,C
158,ASV11433,0,0,0.000244389,0.008146305,C
159,ASV11434,0,0,0.000236542,0.007884726,C
160,ASV11435,0,0,0.000241026,0.0080342,C
161,ASV1146,0.000147979,0.000450663,0,0.01995471,B
162,ASV11495,0,0,0.002586265,0.086208829,C
163,ASV115,0.000506715,2.24E-06,0,0.01696524,A
164,ASV11518,0,0,0.00050111,0.016703661,C
165,ASV1152,4.48E-06,0.005992018,8.97E-06,0.200182358,B
166,ASV1157,2.24E-06,0.000438331,0,0.014685769,B
167,ASV116,0.00111993,3.14E-05,0.0002556,0.046897304,A
168,ASV1163,0.000260084,0.002726396,0,0.099549337,B
169,ASV11675,0,0,0.000615457,0.020515235,C
170,ASV1169,4.48E-06,0.001230914,0,0.041179944,B
171,ASV117,0.000261205,0,0,0.00870683,A
172,ASV11769,0,0,0.002821686,0.094056187,C
173,ASV11770,0,0,0.001988745,0.066291488,C
174,ASV11771,0,0,0.001809376,0.060312549,C
175,ASV11772,0,0,0.001699513,0.056650449,C
176,ASV11773,0,0,0.001504451,0.050148352,C
177,ASV11774,0,0,0.001357593,0.045253096,C
178,ASV11775,0,0,0.001180467,0.039348894,C
179,ASV11776,0,0,0.001223067,0.040768892,C
180,ASV11777,0,0,0.001251093,0.041703101,C
181,ASV11778,0,0,0.001171498,0.039049947,C
182,ASV11779,0,0,0.001132262,0.037742054,C
183,ASV11780,0,0,0.001076209,0.035873635,C
184,ASV11781,0,0,0.001059393,0.03531311,C
185,ASV11782,0,0,0.000956257,0.03187522,C
